##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	0868.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	37064605
Sequences flagged as poor quality	0
Sequence length	41-76
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.127683864430768	32.0	32.0	32.0	32.0	32.0
2	31.3266267372875	32.0	32.0	32.0	32.0	32.0
3	31.433080697878744	32.0	32.0	32.0	32.0	32.0
4	31.480979603047167	32.0	32.0	32.0	32.0	32.0
5	31.506788268753976	32.0	32.0	32.0	32.0	32.0
6	34.90351614431072	36.0	36.0	36.0	32.0	36.0
7	34.88144209279986	36.0	36.0	36.0	32.0	36.0
8	34.878580737606676	36.0	36.0	36.0	32.0	36.0
9	34.8848915832234	36.0	36.0	36.0	32.0	36.0
10-11	34.88780053099177	36.0	36.0	36.0	32.0	36.0
12-13	34.89776826166096	36.0	36.0	36.0	32.0	36.0
14-15	34.89660824660076	36.0	36.0	36.0	32.0	36.0
16-17	34.88270162328723	36.0	36.0	36.0	32.0	36.0
18-19	34.87043273495023	36.0	36.0	36.0	32.0	36.0
20-21	34.854098107884866	36.0	36.0	36.0	32.0	36.0
22-23	34.81856218351713	36.0	36.0	36.0	32.0	36.0
24-25	34.76787749390557	36.0	36.0	36.0	32.0	36.0
26-27	34.68647423869754	36.0	36.0	36.0	32.0	36.0
28-29	34.640965403516375	36.0	36.0	36.0	32.0	36.0
30-31	34.6013942277275	36.0	36.0	36.0	32.0	36.0
32-33	34.56489498539105	36.0	36.0	36.0	32.0	36.0
34-35	34.52422319083125	36.0	36.0	36.0	32.0	36.0
36-37	34.485876552576244	36.0	36.0	36.0	32.0	36.0
38-39	34.44951616238727	36.0	36.0	36.0	32.0	36.0
40-41	34.415411927363046	36.0	36.0	36.0	32.0	36.0
42-43	34.37746585664317	36.0	36.0	36.0	32.0	36.0
44-45	34.34277963687404	36.0	36.0	36.0	32.0	36.0
46-47	34.30187489659946	36.0	36.0	36.0	32.0	36.0
48-49	34.2599433680716	36.0	36.0	36.0	32.0	36.0
50-51	34.21142094220135	36.0	36.0	36.0	32.0	36.0
52-53	34.160627279330974	36.0	36.0	36.0	32.0	36.0
54-55	34.10244477453476	36.0	36.0	36.0	32.0	36.0
56-57	34.03646723164775	36.0	36.0	36.0	32.0	36.0
58-59	33.97987627225155	36.0	36.0	36.0	32.0	36.0
60-61	33.92198586427162	36.0	36.0	36.0	32.0	36.0
62-63	33.85850184434806	36.0	36.0	36.0	32.0	36.0
64-65	33.78130920632626	36.0	36.0	36.0	27.0	36.0
66-67	33.712656174947575	36.0	36.0	36.0	27.0	36.0
68-69	33.65304561412835	36.0	36.0	36.0	27.0	36.0
70-71	33.5889256550643	36.0	36.0	36.0	27.0	36.0
72-73	33.53335932905926	36.0	36.0	36.0	27.0	36.0
74-75	33.461025048129194	36.0	36.0	36.0	27.0	36.0
76	32.534328293333836	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
11101	1	0.06112453887281788
11101	2	0.07476477299355722
11101	3	0.026760740482494327
11101	4	0.08248438521184198
11101	5	0.07932233712715586
11101	6	0.16542394244211778
11101	7	0.34013137335509924
11101	8	0.25612017252650077
11101	9	0.25392006745359197
11101	10-11	0.24583307033010016
11101	12-13	0.2880549437769915
11101	14-15	0.2399357288827062
11101	16-17	0.23468000587406834
11101	18-19	0.21361368358110155
11101	20-21	0.23559575369161934
11101	22-23	0.31787690573432315
11101	24-25	0.293385404361608
11101	26-27	0.26773314287657257
11101	28-29	0.3175247697468677
11101	30-31	0.2212835424269457
11101	32-33	0.3013427761579379
11101	34-35	0.29839452470539385
11101	36-37	0.3262674267574184
11101	38-39	0.3506174688644208
11101	40-41	0.29353157810201935
11101	42-43	0.28210237264090665
11101	44-45	0.3506683553641281
11101	46-47	0.35825526226422966
11101	48-49	0.37186790533848324
11101	50-51	0.35353273762756743
11101	52-53	0.29291609126627804
11101	54-55	0.31789579316257033
11101	56-57	0.39555173463238447
11101	58-59	0.36054236446302923
11101	60-61	0.40654018304437756
11101	62-63	0.3759203451039994
11101	64-65	0.48572110968957816
11101	66-67	0.4978502855168969
11101	68-69	0.4478936167754952
11101	70-71	0.5391343323374826
11101	72-73	0.43023043685769125
11101	74-75	0.5715013963886264
11101	76	0.5421393742666893
11102	1	0.15359863592184553
11102	2	0.13435204169882553
11102	3	0.05540859141135357
11102	4	0.12080769629487165
11102	5	0.09297079949612197
11102	6	0.14007227215375195
11102	7	0.24306884578981425
11102	8	0.2285126297335438
11102	9	0.29317154362156117
11102	10-11	0.228774140615009
11102	12-13	0.2563008936032105
11102	14-15	0.22103444014243934
11102	16-17	0.261603423711108
11102	18-19	0.22776905173360262
11102	20-21	0.19751073724455637
11102	22-23	0.17200749897180856
11102	24-25	0.24827872862712042
11102	26-27	0.2876821989232212
11102	28-29	0.2509100588717885
11102	30-31	0.27481794043212915
11102	32-33	0.3034059565408427
11102	34-35	0.3031506712737482
11102	36-37	0.32321470671139707
11102	38-39	0.27529541341464636
11102	40-41	0.3430865927808213
11102	42-43	0.3004769267918874
11102	44-45	0.2826379724490877
11102	46-47	0.3665276817389653
11102	48-49	0.3628493818688767
11102	50-51	0.34727106623797255
11102	52-53	0.3865919684859165
11102	54-55	0.3720129910509655
11102	56-57	0.3836981406133546
11102	58-59	0.32343859971188493
11102	60-61	0.36134870831914156
11102	62-63	0.36843062131091386
11102	64-65	0.37095549041092823
11102	66-67	0.360051240790888
11102	68-69	0.3865383066241108
11102	70-71	0.4258896094554814
11102	72-73	0.5225814394964274
11102	74-75	0.4388985858192953
11102	76	0.559236601628136
11103	1	0.07672988778647039
11103	2	0.12119262697546773
11103	3	0.08422342059330745
11103	4	0.10262160016271338
11103	5	0.0953745015324543
11103	6	0.18636748563758232
11103	7	0.22131599663109114
11103	8	0.2531865479623292
11103	9	0.211806479026734
11103	10-11	0.22358001105860836
11103	12-13	0.24506287076064837
11103	14-15	0.21276132309017726
11103	16-17	0.2404959835529752
11103	18-19	0.25689183153182427
11103	20-21	0.2629384013507732
11103	22-23	0.2636687311974555
11103	24-25	0.22473940345215482
11103	26-27	0.2913740256426607
11103	28-29	0.2543563999579135
11103	30-31	0.29595353857477136
11103	32-33	0.31012862222736715
11103	34-35	0.3322556851709564
11103	36-37	0.29738797959991814
11103	38-39	0.2935412687136747
11103	40-41	0.3109396916882474
11103	42-43	0.3041252604859821
11103	44-45	0.325647081650807
11103	46-47	0.3704295185306634
11103	48-49	0.35333410151302047
11103	50-51	0.3548561373770056
11103	52-53	0.3800263588634891
11103	54-55	0.3869474336264176
11103	56-57	0.43658516576778794
11103	58-59	0.42969534136515364
11103	60-61	0.3740414166347037
11103	62-63	0.5176741944884142
11103	64-65	0.5340034811275132
11103	66-67	0.5492752617464944
11103	68-69	0.4941995787583622
11103	70-71	0.3984403136968524
11103	72-73	0.48854377176589736
11103	74-75	0.5856712831610409
11103	76	0.6460898131910398
11104	1	0.11450498707710821
11104	2	0.11946645178923632
11104	3	0.06708421422214528
11104	4	0.0699542315693229
11104	5	0.11000118660352598
11104	6	0.26573744524386456
11104	7	0.269770167684797
11104	8	0.26569683928074284
11104	9	0.18776607213505514
11104	10-11	0.2611182053756309
11104	12-13	0.2000445086963083
11104	14-15	0.256179837960012
11104	16-17	0.23726025190727285
11104	18-19	0.25410458025240956
11104	20-21	0.31863267368516546
11104	22-23	0.21558612966506985
11104	24-25	0.3325612006292076
11104	26-27	0.28926698464016454
11104	28-29	0.2789192435703427
11104	30-31	0.2690872838431204
11104	32-33	0.29602045964758616
11104	34-35	0.35118930228592404
11104	36-37	0.32848325815474055
11104	38-39	0.32690576533530447
11104	40-41	0.29465708055847273
11104	42-43	0.35386160514141096
11104	44-45	0.27755949323955775
11104	46-47	0.31618277717372223
11104	48-49	0.33792600075172885
11104	50-51	0.32922079489603817
11104	52-53	0.3335320500213754
11104	54-55	0.37694657738872905
11104	56-57	0.2987856025430986
11104	58-59	0.30636090715479014
11104	60-61	0.3979681226883045
11104	62-63	0.4477079641266002
11104	64-65	0.5149177736164319
11104	66-67	0.37110609285053187
11104	68-69	0.4100170008158557
11104	70-71	0.609466605744089
11104	72-73	0.4492382650510436
11104	74-75	0.468789940759315
11104	76	0.4327013118574925
11105	1	0.1432816496026632
11105	2	0.11216573465357271
11105	3	0.08767657184907307
11105	4	0.04391881706828826
11105	5	0.11050138802502829
11105	6	0.1781955481632096
11105	7	0.2541285533454669
11105	8	0.18927292073578172
11105	9	0.18606973687953143
11105	10-11	0.20345651649626006
11105	12-13	0.24834442671916435
11105	14-15	0.27131191693977996
11105	16-17	0.22520228758845917
11105	18-19	0.2604820263029026
11105	20-21	0.18715181717896456
11105	22-23	0.18080043932457102
11105	24-25	0.23603355705417783
11105	26-27	0.2550477347544913
11105	28-29	0.3257420142474956
11105	30-31	0.26062489520009535
11105	32-33	0.3051276224590751
11105	34-35	0.30399022553822874
11105	36-37	0.31699060745718555
11105	38-39	0.31389724177837763
11105	40-41	0.34501801474106486
11105	42-43	0.2629820458084495
11105	44-45	0.31727130555416494
11105	46-47	0.30198125613620874
11105	48-49	0.33166150098600866
11105	50-51	0.3678616458056254
11105	52-53	0.34313789302905207
11105	54-55	0.39116834386936716
11105	56-57	0.3899970894845026
11105	58-59	0.44229780823100384
11105	60-61	0.3903407177202851
11105	62-63	0.39848163866513886
11105	64-65	0.44768320161129793
11105	66-67	0.3786419014343423
11105	68-69	0.3592685008476266
11105	70-71	0.5436825664099985
11105	72-73	0.5025980629357534
11105	74-75	0.4564074143001946
11105	76	0.5836150466721506
11106	1	0.0890088038710033
11106	2	0.023521234007468195
11106	3	0.09001876208709447
11106	4	0.0707627076315056
11106	5	0.07152875946473358
11106	6	0.18765225697008248
11106	7	0.18794580435167774
11106	8	0.17219287280865814
11106	9	0.19953484071118766
11106	10-11	0.23363001926148996
11106	12-13	0.20231769277909706
11106	14-15	0.18334461226667997
11106	16-17	0.22100573483326968
11106	18-19	0.17947727895020904
11106	20-21	0.2093562608299422
11106	22-23	0.18664702730657012
11106	24-25	0.30671851240887804
11106	26-27	0.2419049558591837
11106	28-29	0.1641591563293332
11106	30-31	0.17157151417647043
11106	32-33	0.2577589718463642
11106	34-35	0.21669660444342753
11106	36-37	0.2617848383287935
11106	38-39	0.3041945587152455
11106	40-41	0.22871186277670574
11106	42-43	0.30260281154763646
11106	44-45	0.2838460842118238
11106	46-47	0.3164611786106306
11106	48-49	0.25419291973305036
11106	50-51	0.26143271783315214
11106	52-53	0.3771802421226482
11106	54-55	0.3757229581700443
11106	56-57	0.4332304033641847
11106	58-59	0.48908996824486906
