##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	0863.T.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	32656664
Sequences flagged as poor quality	0
Sequence length	36-76
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.000012248648545	32.0	32.0	32.0	32.0	32.0
2	31.458147286569137	32.0	32.0	32.0	32.0	32.0
3	31.52727431068893	32.0	32.0	32.0	32.0	32.0
4	31.569934485653526	32.0	32.0	32.0	32.0	32.0
5	31.701240702357104	32.0	32.0	32.0	32.0	32.0
6	35.02681667055766	36.0	36.0	36.0	36.0	36.0
7	35.015617057516955	36.0	36.0	36.0	36.0	36.0
8	35.01413827817808	36.0	36.0	36.0	36.0	36.0
9	35.022109453678425	36.0	36.0	36.0	36.0	36.0
10-11	35.02793434442661	36.0	36.0	36.0	36.0	36.0
12-13	35.042694517112956	36.0	36.0	36.0	36.0	36.0
14-15	35.04782696113724	36.0	36.0	36.0	36.0	36.0
16-17	35.03900496388731	36.0	36.0	36.0	36.0	36.0
18-19	35.03223508990385	36.0	36.0	36.0	36.0	36.0
20-21	35.02188684980193	36.0	36.0	36.0	36.0	36.0
22-23	34.99939603445104	36.0	36.0	36.0	36.0	36.0
24-25	34.96150958652727	36.0	36.0	36.0	36.0	36.0
26-27	34.91117606195171	36.0	36.0	36.0	36.0	36.0
28-29	34.88375266989917	36.0	36.0	36.0	32.0	36.0
30-31	34.85815746519607	36.0	36.0	36.0	32.0	36.0
32-33	34.83175985152678	36.0	36.0	36.0	32.0	36.0
34-35	34.80415698615143	36.0	36.0	36.0	32.0	36.0
36-37	34.78363226887635	36.0	36.0	36.0	32.0	36.0
38-39	34.76989799554862	36.0	36.0	36.0	32.0	36.0
40-41	34.7563614616762	36.0	36.0	36.0	32.0	36.0
42-43	34.739078089161744	36.0	36.0	36.0	32.0	36.0
44-45	34.72612640439179	36.0	36.0	36.0	32.0	36.0
46-47	34.71107169367822	36.0	36.0	36.0	32.0	36.0
48-49	34.69177159256287	36.0	36.0	36.0	32.0	36.0
50-51	34.67012078675449	36.0	36.0	36.0	32.0	36.0
52-53	34.64857427737287	36.0	36.0	36.0	32.0	36.0
54-55	34.61831392903527	36.0	36.0	36.0	32.0	36.0
56-57	34.58329099928247	36.0	36.0	36.0	32.0	36.0
58-59	34.555283692589114	36.0	36.0	36.0	32.0	36.0
60-61	34.52395286302565	36.0	36.0	36.0	32.0	36.0
62-63	34.488624792183636	36.0	36.0	36.0	32.0	36.0
64-65	34.43853921660274	36.0	36.0	36.0	32.0	36.0
66-67	34.39702956496615	36.0	36.0	36.0	32.0	36.0
68-69	34.365960335346486	36.0	36.0	36.0	32.0	36.0
70-71	34.33901671545645	36.0	36.0	36.0	32.0	36.0
72-73	34.361716106540456	36.0	36.0	36.0	32.0	36.0
74-75	34.72467782375888	36.0	36.0	36.0	32.0	36.0
76	35.45946157272222	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
11101	1	-1.0836230316613182E-5
11101	2	0.05953330044583183
11101	3	0.06057080325462394
11101	4	0.06599524132475665
11101	5	0.09565469607986188
11101	6	0.12607639048863462
11101	7	0.18939598571444094
11101	8	0.18041914766443767
11101	9	0.21708963203126785
11101	10-11	0.19781693501516884
11101	12-13	0.22330727766776448
11101	14-15	0.19458822426816624
11101	16-17	0.1865140651463264
11101	18-19	0.13590257802824368
11101	20-21	0.21632622937515578
11101	22-23	0.2943023870242314
11101	24-25	0.24941504257611768
11101	26-27	0.19373729417168306
11101	28-29	0.35650257794458184
11101	30-31	0.19363964507059706
11101	32-33	0.23144238230409542
11101	34-35	0.24722736418704727
11101	36-37	0.32370747412360146
11101	38-39	0.26240920101788845
11101	40-41	0.23021145981415003
11101	42-43	0.24202633856499034
11101	44-45	0.2907404946865242
11101	46-47	0.2624747585829681
11101	48-49	0.2875933048990049
11101	50-51	0.31749584237723383
11101	52-53	0.2685432295513621
11101	54-55	0.2600146529564924
11101	56-57	0.3291808226922299
11101	58-59	0.3848984253210759
11101	60-61	0.34940390039224667
11101	62-63	0.3744345399015856
11101	64-65	0.4066646040322439
11101	66-67	0.5007100366420119
11101	68-69	0.3449679216896655
11101	70-71	0.3911677021901028
11101	72-73	0.36832318228669436
11101	74-75	0.34361257581418414
11101	76	0.13646316765478161
11102	1	-1.0836230316613182E-5
11102	2	0.1267953699550297
11102	3	0.07366631449965055
11102	4	0.06300612522914051
11102	5	0.0987533823951523
11102	6	0.24122482694250635
11102	7	0.2663959063907626
11102	8	0.25630447022151515
11102	9	0.1733205020532722
11102	10-11	0.21018558201861026
11102	12-13	0.25258592166108684
11102	14-15	0.24297538215500225
11102	16-17	0.2202828261883667
11102	18-19	0.22141671231710802
11102	20-21	0.19554874169959646
11102	22-23	0.24964396463059302
11102	24-25	0.2504775830004533
11102	26-27	0.2666744118569113
11102	28-29	0.2553910028462951
11102	30-31	0.3100700971905823
11102	32-33	0.2293818366653042
11102	34-35	0.23345540504686113
11102	36-37	0.3216797045261188
11102	38-39	0.3321403004649852
11102	40-41	0.3036154772322206
11102	42-43	0.3135602165643121
11102	44-45	0.30057228293037497
11102	46-47	0.3586498828051248
11102	48-49	0.3484088210342051
11102	50-51	0.34054772457388793
11102	52-53	0.3975025149958711
11102	54-55	0.38374290022544955
11102	56-57	0.3603829918847694
11102	58-59	0.39396807605812256
11102	60-61	0.4082916304744515
11102	62-63	0.47328232612786536
11102	64-65	0.3435210330781473
11102	66-67	0.33261444733440015
11102	68-69	0.4431649235434918
11102	70-71	0.32469069056905653
11102	72-73	0.3689460346151705
11102	74-75	0.30480813418183317
11102	76	0.06455700355402172
11103	1	-1.0836230316613182E-5
11103	2	0.12431120775640991
11103	3	0.13186724954144324
11103	4	0.0869264434747059
11103	5	0.11281710355660834
11103	6	0.20220184315265755
11103	7	0.23919736383720647
11103	8	0.27858155228891235
11103	9	0.2599108446058054
11103	10-11	0.24373036205864906
11103	12-13	0.2071055717886523
11103	14-15	0.228568405258045
11103	16-17	0.22807535732304274
11103	18-19	0.237948384839072
11103	20-21	0.24654462344579997
11103	22-23	0.26436268026405685
11103	24-25	0.2853855486362775
11103	26-27	0.24666022097562035
11103	28-29	0.24800779333638445
11103	30-31	0.2637385030870121
11103	32-33	0.2974350899123763
11103	34-35	0.32411860453392904
11103	36-37	0.33712472425818163
11103	38-39	0.3579119319226578
11103	40-41	0.2850291297162073
11103	42-43	0.31503491187353916
11103	44-45	0.31051346338865926
11103	46-47	0.3598217624382869
11103	48-49	0.358613029442715
11103	50-51	0.3667746550084985
11103	52-53	0.38117912078067917
11103	54-55	0.39377959853349154
11103	56-57	0.4025395131306837
11103	58-59	0.4101717524241124
11103	60-61	0.4213177481963015
11103	62-63	0.4844502259335286
11103	64-65	0.39628723279979283
11103	66-67	0.4882254173696978
11103	68-69	0.4929191700672888
11103	70-71	0.4882844349683211
11103	72-73	0.4236053511596154
11103	74-75	0.40381065193367505
11103	76	0.08015077666099302
11104	1	-1.0836230316613182E-5
11104	2	0.0991957472057301
11104	3	0.08469636073497355
11104	4	0.08166713146353288
11104	5	0.07570445447515795
11104	6	0.21464800770755232
11104	7	0.13687008917953136
11104	8	0.22170013092659246
11104	9	0.2693585946164774
11104	10-11	0.2031613167375994
11104	12-13	0.20303899637509915
11104	14-15	0.200386096868165
11104	16-17	0.24705416388952983
11104	18-19	0.20983787665574027
11104	20-21	0.2527449218653004
11104	22-23	0.23357678491695566
11104	24-25	0.2896953098620969
11104	26-27	0.2706074122424127
11104	28-29	0.2835501867737946
11104	30-31	0.265487809781078
11104	32-33	0.3202652183708352
11104	34-35	0.30721221376310837
11104	36-37	0.28871412768024385
11104	38-39	0.30007715431265325
11104	40-41	0.3111659030034488
11104	42-43	0.25808556116098913
11104	44-45	0.3337748976485386
11104	46-47	0.29495685240429026
11104	48-49	0.3685838330453137
11104	50-51	0.3304232891332006
11104	52-53	0.3359429852096625
11104	54-55	0.3687978494551274
11104	56-57	0.3776737311788523
11104	58-59	0.32886795242492184
11104	60-61	0.4119122931122092
11104	62-63	0.4865985709051941
11104	64-65	0.396373674593832
11104	66-67	0.3467481189610382
11104	68-69	0.4957605914292387
11104	70-71	0.5138430437470873
11104	72-73	0.3273739975115717
11104	74-75	0.3423286356384594
11104	76	0.07223923109178543
11105	1	-1.0836230316613182E-5
11105	2	0.04639136389936738
11105	3	0.1107517672916174
11105	4	0.02265373652723568
11105	5	0.11131467049927224
11105	6	0.18954965188665085
11105	7	0.20897632143705636
11105	8	0.15726235858243598
11105	9	0.2243237884089595
11105	10-11	0.23071709182863742
11105	12-13	0.20513985393537126
11105	14-15	0.21545533106978354
11105	16-17	0.2201670375745408
11105	18-19	0.2064758359755956
11105	20-21	0.1900021474901763
11105	22-23	0.16729989496013786
11105	24-25	0.2364110591402806
11105	26-27	0.26174132532946004
11105	28-29	0.2787641034656687
11105	30-31	0.2197224742033015
11105	32-33	0.22877241735810117
11105	34-35	0.26317098638657654
11105	36-37	0.274997441143384
11105	38-39	0.2258465300663346
11105	40-41	0.34885082238779574
11105	42-43	0.3000095755427239
11105	44-45	0.21634401813224002
11105	46-47	0.3024379171110212
11105	48-49	0.33118266806898333
11105	50-51	0.2793536897069444
11105	52-53	0.2821907727533315
11105	54-55	0.3244121080289588
11105	56-57	0.31352215440775666
11105	58-59	0.41846129263372944
11105	60-61	0.39174124457022685
11105	62-63	0.32742583323693
11105	64-65	0.2822703159509814
11105	66-67	0.3254234635105817
11105	68-69	0.3797900738052462
11105	70-71	0.5070288698888561
11105	72-73	0.4720649450311569
11105	74-75	0.26772711794055937
11105	76	0.06654985896319943
11106	1	-1.0836230316613182E-5
11106	2	0.09042647441879126
11106	3	0.1269812967396753
11106	4	0.0901454694456092
11106	5	0.08647530545765392
11106	6	0.18405946293754027
11106	7	0.2200541166384653
11106	8	0.11405257636530308
11106	9	0.17790881641111156
11106	10-11	0.19499918829551888
11106	12-13	0.23467095618644152
11106	14-15	0.22690340374099094
11106	16-17	0.14485031055025388
11106	18-19	0.1834275702713768
11106	20-21	0.23517418901897713
11106	22-23	0.17699082841133418
11106	24-25	0.291556450943979
11106	26-27	0.23895755874053037
11106	28-29	0.15817817965998415
11106	30-31	0.14024124754781297
11106	32-33	0.23461207532313466
11106	34-35	0.19193707291420026
11106	36-37	0.28238275018548364
11106	38-39	0.25958852008376
11106	40-41	0.28473858128972296
11106	42-43	0.20539490223046641
11106	44-45	0.2019099695340998
11106	46-47	0.19703831838333485
11106	48-49	0.2396269958915127
11106	50-51	0.27577743001550914
11106	52-53	0.25662871950161303
11106	54-55	0.2554033497180299
11106	56-57	0.37000234855533165
11106	58-59	0.355217834928375
11106	60-61	0.33644905373072476
11106	62-63	0.3071828768998728
11106	64-65	0.3518123382732128
11106	66-67	0.32439417719752583
11106	68-69	0.3497743481599187
11106	70-71	0.4067522891643591
11106	72-73	0.4127777450896488
11106	74-75	0.28607217744700364
11106	76	0.09217263396768516
11107	1	-1.0836230316613182E-5
11107	2	0.14248305807275585
11107	3	0.09351743956024805
11107	4	0.08891168503990343
11107	5	0.08378566540040921
11107	6	0.15627056640035875
11107	7	0.25635536295634154
11107	8	0.19464038295459574
11107	9	0.19199188017532265
11107	10-11	0.2198195087014696
11107	12-13	0.25165858584819745
11107	14-15	0.23106800636360703
11107	16-17	0.22321659232659385
11107	18-19	0.20572519779780407
11107	20-21	0.21688345954436272
11107	22-23	0.18865334046402182
11107	24-25	0.24554606573533277
11107	26-27	0.23189183029379024
11107	28-29	0.2655500497734238
11107	30-31	0.1982580858368408
11107	32-33	0.285969594610755
11107	34-35	0.27184647215635493
11107	36-37	0.2558270068556894
11107	38-39	0.33134312278606615
11107	40-41	0.2697000864531063
11107	42-43	0.252840639097748
11107	44-45	0.2901014345981707
11107	46-47	0.34157563411349656
11107	48-49	0.28218225913308714
11107	50-51	0.325989618800655
11107	52-53	0.32815086715550734
11107	54-55	0.29506629641763027
11107	56-57	0.37201475557002794
11107	58-59	0.3171692363529246
11107	60-61	0.32144611934336353
11107	62-63	0.3191394073599412
11107	64-65	0.3048389365688564
11107	66-67	0.4079550950265016
11107	68-69	0.36230995022268786
11107	70-71	0.3803942530450115
11107	72-73	0.3576165351951275
11107	74-75	0.2548043942761211
11107	76	0.09270791644908627
11108	1	-1.0836230316613182E-5
11108	2	0.09256534818165107
11108	3	0.09365219996191598
11108	4	0.053593829973813456
11108	5	0.06183299893596583
11108	6	0.23522045851255768
11108	7	0.21272080919060699
11108	8	0.24034742221939354
11108	9	0.20183823113054444
11108	10-11	0.13531726948329492
11108	12-13	0.16836529926403898
11108	14-15	0.19618879731559957
11108	16-17	0.2321389429162295
11108	18-19	0.1764320880463046
11108	20-21	0.2060264469700357
11108	22-23	0.22799438710148934
11108	24-25	0.24115474596756314
11108	26-27	0.2896726332863082
11108	28-29	0.2901763500233727
11108	30-31	0.24035978349668596
11108	32-33	0.2822914999397099
11108	34-35	0.2639928415896051
11108	36-37	0.3157014543879981
11108	38-39	0.27190560736495684
11108	40-41	0.23268752933190484
11108	42-43	0.3173852784949318
11108	44-45	0.24118002041663544
11108	46-47	0.2580625629987594
11108	48-49	0.23684370049020487
11108	50-51	0.3159862715747863
11108	52-53	0.2602875685378976
11108	54-55	0.3620190715377376
11108	56-57	0.3603565922552363
11108	58-59	0.428937418446246
11108	60-61	0.3476941898303636
11108	62-63	0.3761994830209403
11108	64-65	0.4056366208630777
11108	66-67	0.4749571246797686
11108	68-69	0.44620476033611567
11108	70-71	0.5094715874432865
11108	72-73	0.44936176008915396
11108	74-75	0.3414252349600133
11108	76	0.15292766883537467
11109	1	-1.0836230316613182E-5
11109	2	0.10418184066535119
11109	3	0.08412295261051383
11109	4	0.09922063275288195
11109	5	0.08132580479719564
11109	6	0.17315622532790087
11109	7	0.21305407942143262
11109	8	0.13197382429618898
11109	9	0.1527816575240024
11109	10-11	0.20758294415771417
11109	12-13	0.23093455577340904
11109	14-15	0.2116867366493409
11109	16-17	0.19275388162782292
11109	18-19	0.20334022659632467
11109	20-21	0.18691439068578575
11109	22-23	0.28123887639439715
11109	24-25	0.26461504829750737
11109	26-27	0.2479599879153156
11109	28-29	0.24068643775673593
11109	30-31	0.2873213814334079
11109	32-33	0.31685655459700257
11109	34-35	0.2504594724936098
11109	36-37	0.2661707358437937
11109	38-39	0.2586877774550942
11109	40-41	0.24674986542279242
11109	42-43	0.295784880847485
11109	44-45	0.3130891765380426
11109	46-47	0.3200787366952511
11109	48-49	0.26690473557685124
11109	50-51	0.2698483053515375
11109	52-53	0.23619287860712035
11109	54-55	0.3330161342213742
11109	56-57	0.283196954691455
11109	58-59	0.28703765908313983
11109	60-61	0.36099088686205505
11109	62-63	0.33053721129799385
11109	64-65	0.366612268902216
11109	66-67	0.2656713038226499
11109	68-69	0.3371773861702323
11109	70-71	0.4272782744164587
11109	72-73	0.5243437259846857
11109	74-75	0.36687776290700214
11109	76	0.15404493648331652
11110	1	-1.0836230316613182E-5
11110	2	0.13325694070599425
11110	3	0.07175183366893023
11110	4	0.05691607500163087
11110	5	0.08817777324238207
11110	6	0.1529313428055019
11110	7	0.2873295541019374
11110	8	0.20136287503707706
11110	9	0.1766534608785051
11110	10-11	0.2149691556819846
11110	12-13	0.20015419192441897
11110	14-15	0.2423503829916882
11110	16-17	0.1540883972559186
11110	18-19	0.1398814178347294
11110	20-21	0.20029362381134064
11110	22-23	0.18082381599037944
11110	24-25	0.22449107169163085
11110	26-27	0.19863740797524798
11110	28-29	0.21268468847323163
11110	30-31	0.29470377194665076
11110	32-33	0.22809703226774758
11110	34-35	0.24894746967082426
11110	36-37	0.24153061828923938
11110	38-39	0.208444324742608
11110	40-41	0.24149365312371884
11110	42-43	0.23711081611730123
