##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1173.T.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2328014
Sequences flagged as poor quality	0
Sequence length	36-76
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.0000068728109	32.0	32.0	32.0	32.0	32.0
2	31.628628521993424	32.0	32.0	32.0	32.0	32.0
3	31.650136124610935	32.0	32.0	32.0	32.0	32.0
4	31.710331209348396	32.0	32.0	32.0	32.0	32.0
5	31.80626491077803	32.0	32.0	32.0	32.0	32.0
6	35.33214920528828	36.0	36.0	36.0	36.0	36.0
7	35.280636198923204	36.0	36.0	36.0	36.0	36.0
8	35.28126592022213	36.0	36.0	36.0	36.0	36.0
9	35.27141632309771	36.0	36.0	36.0	36.0	36.0
10-11	35.26692365252099	36.0	36.0	36.0	36.0	36.0
12-13	35.25512926468655	36.0	36.0	36.0	36.0	36.0
14-15	35.21819306069465	36.0	36.0	36.0	36.0	36.0
16-17	35.230001838476916	36.0	36.0	36.0	36.0	36.0
18-19	35.219545071464346	36.0	36.0	36.0	36.0	36.0
20-21	35.198816673782886	36.0	36.0	36.0	36.0	36.0
22-23	35.15696275881503	36.0	36.0	36.0	36.0	36.0
24-25	35.13571116840363	36.0	36.0	36.0	36.0	36.0
26-27	35.082462347735024	36.0	36.0	36.0	36.0	36.0
28-29	35.05852928719501	36.0	36.0	36.0	36.0	36.0
30-31	35.034971653950535	36.0	36.0	36.0	36.0	36.0
32-33	34.99571394330103	36.0	36.0	36.0	36.0	36.0
34-35	34.959987568803285	36.0	36.0	36.0	36.0	36.0
36-37	34.950304207262	36.0	36.0	36.0	36.0	36.0
38-39	34.94001290619717	36.0	36.0	36.0	36.0	36.0
40-41	34.9167177682412	36.0	36.0	36.0	36.0	36.0
42-43	34.88751447944561	36.0	36.0	36.0	36.0	36.0
44-45	34.862793872072956	36.0	36.0	36.0	36.0	36.0
46-47	34.87060853746688	36.0	36.0	36.0	36.0	36.0
48-49	34.82466441743346	36.0	36.0	36.0	36.0	36.0
50-51	34.78995548103609	36.0	36.0	36.0	32.0	36.0
52-53	34.73411558144075	36.0	36.0	36.0	32.0	36.0
54-55	34.69009417241422	36.0	36.0	36.0	32.0	36.0
56-57	34.63287668933383	36.0	36.0	36.0	32.0	36.0
58-59	34.61094011662402	36.0	36.0	36.0	32.0	36.0
60-61	34.568991850814896	36.0	36.0	36.0	32.0	36.0
62-63	34.53132846711766	36.0	36.0	36.0	32.0	36.0
64-65	34.48753562042228	36.0	36.0	36.0	32.0	36.0
66-67	34.428609628153666	36.0	36.0	36.0	32.0	36.0
68-69	34.41666420381957	36.0	36.0	36.0	32.0	36.0
70-71	34.36424137109819	36.0	36.0	36.0	32.0	36.0
72-73	34.361111992394356	36.0	36.0	36.0	32.0	36.0
74-75	34.710564542378265	36.0	36.0	36.0	32.0	36.0
76	35.414168604306774	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.0
11101	2	0.01717185933856058
11101	3	-0.09200452341022114
11101	4	0.21737655314312931
11101	5	0.2113715165015222
11101	6	0.41990300414165205
11101	7	0.20056545060533892
11101	8	0.285297899320085
11101	9	0.49801472523787993
11101	10-11	0.11293089491278607
11101	12-13	0.2970736730234407
11101	14-15	0.30343190421177013
11101	16-17	0.31108542841602116
11101	18-19	0.33107455440880784
11101	20-21	0.3324509036355181
11101	22-23	0.1778383286610108
11101	24-25	0.40279900529051105
11101	26-27	0.23416695950411537
11101	28-29	0.34756632169828805
11101	30-31	0.29584264545704997
11101	32-33	0.2806733849190479
11101	34-35	0.2258248596525121
11101	36-37	0.30294431088651663
11101	38-39	0.3313657818943483
11101	40-41	0.06155857084315386
11101	42-43	0.31478663520920946
11101	44-45	0.21492141692576894
11101	46-47	0.2965227665528758
11101	48-49	0.22926699401298123
11101	50-51	0.18167335028377352
11101	52-53	0.2462045995558242
11101	54-55	0.41464539469506434
11101	56-57	0.5096025837660392
11101	58-59	0.6163969972116519
11101	60-61	0.44970938111744374
11101	62-63	0.438234319576587
11101	64-65	0.49776628504405096
11101	66-67	0.4512752583084847
11101	68-69	0.48539200579088515
11101	70-71	0.37518013423206753
11101	72-73	0.33973670900409303
11101	74-75	0.049611308845236124
11101	76	0.07755206091796651
11102	1	0.0
11102	2	0.17199454238749823
11102	3	0.06736548401984166
11102	4	0.0956415543708431
11102	5	0.0673654704096407
11102	6	0.13493309110205587
11102	7	0.00901339713441729
11102	8	0.1834901306022303
11102	9	0.13112919599756623
11102	10-11	0.2217780875937052
11102	12-13	-0.014220337327621735
11102	14-15	0.15405899491271668
11102	16-17	0.042573258105015555
11102	18-19	0.16906735394705663
11102	20-21	0.11017730522229385
11102	22-23	0.3963618194499645
11102	24-25	0.11030814936671618
11102	26-27	0.3614745034068463
11102	28-29	0.3193400652049547
11102	30-31	0.23831070098160723
11102	32-33	-0.023195348558637363
11102	34-35	0.19198779162440616
11102	36-37	0.246139428093322
11102	38-39	0.1681233885080502
11102	40-41	0.21176412068899708
11102	42-43	0.5143819589502172
11102	44-45	0.3223052383438869
11102	46-47	0.38389077397174276
11102	48-49	0.08018615402279039
11102	50-51	0.2816416018567196
11102	52-53	0.40093448367530016
11102	54-55	0.4046976225390324
11102	56-57	0.23227936184795084
11102	58-59	0.34562590318583375
11102	60-61	0.33358522776701705
11102	62-63	0.5293285340653
11102	64-65	0.4287784401793431
11102	66-67	0.37316617793949547
11102	68-69	0.196569915078328
11102	70-71	0.384554285124203
11102	72-73	0.17246356116726957
11102	74-75	0.2873008782964277
11102	76	0.01660088512971214
11103	1	0.0
11103	2	5.738692112799981E-4
11103	3	0.1421787289351144
11103	4	0.09421805325714416
11103	5	0.20953764414032605
11103	6	0.30634423190474536
11103	7	0.1344689651526636
11103	8	0.0507613615811735
11103	9	0.24485041220133041
11103	10-11	0.29318192024334877
11103	12-13	0.13412881445000835
11103	14-15	0.11732758224673745
11103	16-17	0.0775300605656355
11103	18-19	0.07424089080716101
11103	20-21	0.0890758076864131
11103	22-23	0.11405104500816776
11103	24-25	0.15761573046338384
