##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1182.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	25688159
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.958205257138122	32.0	32.0	32.0	32.0	32.0
2	31.107733450263993	32.0	32.0	32.0	32.0	32.0
3	31.347370825601008	32.0	32.0	32.0	32.0	32.0
4	31.487381170445108	32.0	32.0	32.0	32.0	32.0
5	31.494084180964467	32.0	32.0	32.0	32.0	32.0
6	34.91593644371323	36.0	36.0	36.0	36.0	36.0
7	34.919661623084785	36.0	36.0	36.0	36.0	36.0
8	34.77739654289745	36.0	36.0	36.0	32.0	36.0
9	34.99853379917183	36.0	36.0	36.0	36.0	36.0
10-11	34.90569561641222	36.0	36.0	36.0	34.0	36.0
12-13	34.887180704541734	36.0	36.0	36.0	34.0	36.0
14-15	34.836484311701746	36.0	36.0	36.0	32.0	36.0
16-17	34.84092484011797	36.0	36.0	36.0	32.0	36.0
18-19	34.82500694191437	36.0	36.0	36.0	32.0	36.0
20-21	34.801041074994906	36.0	36.0	36.0	32.0	36.0
22-23	34.73612367472499	36.0	36.0	36.0	32.0	36.0
24-25	34.69673340545735	36.0	36.0	36.0	32.0	36.0
26-27	34.58077747027337	36.0	36.0	36.0	32.0	36.0
28-29	34.46715076000581	36.0	36.0	36.0	32.0	36.0
30-31	34.414628642714334	36.0	36.0	36.0	32.0	36.0
32-33	34.39466934940725	36.0	36.0	36.0	32.0	36.0
34-35	34.35767516465465	36.0	36.0	36.0	32.0	36.0
36-37	34.32435922801401	36.0	36.0	36.0	32.0	36.0
38-39	34.245756605677215	36.0	36.0	36.0	32.0	36.0
40-41	34.18483905739876	36.0	36.0	36.0	32.0	36.0
42-43	34.14089658121981	36.0	36.0	36.0	32.0	36.0
44-45	34.052878920929054	36.0	36.0	36.0	32.0	36.0
46-47	33.969042438283665	36.0	36.0	36.0	32.0	36.0
48-49	33.90580465804924	36.0	36.0	36.0	32.0	36.0
50-51	33.86268449613306	36.0	36.0	36.0	32.0	36.0
52-53	33.7200204254725	36.0	36.0	36.0	27.0	36.0
54-55	33.626990202652294	36.0	36.0	36.0	27.0	36.0
56-57	33.48145798570612	36.0	36.0	36.0	27.0	36.0
58-59	33.364739094631474	36.0	36.0	36.0	24.0	36.0
60-61	33.33368556049655	36.0	36.0	36.0	21.0	36.0
62-63	33.240277250862576	36.0	36.0	36.0	21.0	36.0
64-65	33.12567768460959	36.0	36.0	36.0	21.0	36.0
66-67	32.99824716581182	36.0	36.0	36.0	14.0	36.0
68-69	32.953484940658996	36.0	36.0	36.0	14.0	36.0
70-71	32.807280533370786	36.0	34.0	36.0	14.0	36.0
72-73	32.70861248413	36.0	32.0	36.0	14.0	36.0
74-75	32.60079123326659	36.0	32.0	36.0	14.0	36.0
76	31.3145124483458	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.0733672827615024
11101	2	-0.07474192673295832
11101	3	-0.004836306385428202
11101	4	0.08100434615736773
11101	5	0.08146279685697166
11101	6	0.17312122163318833
11101	7	0.20669671085017427
11101	8	0.2533347505169701
11101	9	0.24995996673899157
11101	10-11	0.26918631566995543
11101	12-13	0.2765732261435616
11101	14-15	0.17994136464204757
11101	16-17	0.1572712970073198
11101	18-19	0.25134653091950554
11101	20-21	0.19232878484668703
11101	22-23	0.20495105645595402
11101	24-25	0.2386734475011778
11101	26-27	0.24748018320165244
11101	28-29	0.29509300825243656
11101	30-31	0.2642149051255984
11101	32-33	0.20470776123744372
11101	34-35	0.31182396993791883
11101	36-37	0.3349802258816368
11101	38-39	0.27277011658452466
11101	40-41	0.32948830051144995
11101	42-43	0.42406290451140904
11101	44-45	0.3687933332578126
11101	46-47	0.4330083760646346
11101	48-49	0.3303986452083123
11101	50-51	0.37572094084794827
11101	52-53	0.41007387082463964
11101	54-55	0.4320337872440092
11101	56-57	0.47830433697190955
11101	58-59	0.5269321967107459
11101	60-61	0.4693352759742595
11101	62-63	0.4682625738973556
11101	64-65	0.4601471138797706
11101	66-67	0.4365996549103741
11101	68-69	0.521284758657302
11101	70-71	0.5788403414439429
11101	72-73	0.5978130102744075
11101	74-75	0.5050440454955947
11101	76	0.6775951546264096
11102	1	0.07578446195382327
11102	2	-0.036754991940863846
11102	3	0.09132855800486084
11102	4	0.05598107912841144
11102	5	0.06251195769458207
11102	6	0.08945801453718616
11102	7	0.14108792238436507
11102	8	0.14841265562474604
11102	9	0.27527377177887047
11102	10-11	0.27534984180745425
11102	12-13	0.18074461822730115
11102	14-15	0.23173503541188722
11102	16-17	0.23943128385845824
11102	18-19	0.2077065504960416
11102	20-21	0.2603595653381774
11102	22-23	0.20744410964837812
11102	24-25	0.26850597230443185
11102	26-27	0.20660578880901426
11102	28-29	0.2739140572134673
11102	30-31	0.24858627428237412
11102	32-33	0.2914606051375088
11102	34-35	0.26702992286562477
11102	36-37	0.26593465108918224
11102	38-39	0.2862215380537094
11102	40-41	0.23669254869169976
11102	42-43	0.2850465345849429
11102	44-45	0.36977496026819523
11102	46-47	0.34355594381456456
11102	48-49	0.2243652783313408
11102	50-51	0.31744827167860734
11102	52-53	0.38282658092813193
11102	54-55	0.4196972963342489
11102	56-57	0.5442103577274509
11102	58-59	0.36809047497364134
11102	60-61	0.32506237345247513
11102	62-63	0.3779601363818088
11102	64-65	0.32851525063428966
11102	66-67	0.4209494317570943
11102	68-69	0.4185248000959092
11102	70-71	0.4678643883056566
11102	72-73	0.508672076616854
11102	74-75	0.36656302717211275
11102	76	0.3832776274143832
11103	1	0.16866754006191087
11103	2	0.13253618540084133
11103	3	0.13230387001368626
11103	4	0.08236580509700886
11103	5	0.11803151449950988
11103	6	0.3500465355390432
11103	7	0.22476765074041793
11103	8	0.3247814314597264
11103	9	0.17484890949342002
11103	10-11	0.285111872852994
11103	12-13	0.2232897065513626
11103	14-15	0.2459763689859642
11103	16-17	0.2301725405882067
11103	18-19	0.20625522698690446
11103	20-21	0.2126667460339391
11103	22-23	0.21111886631950938
11103	24-25	0.2614155353134393
11103	26-27	0.3101396339686815
11103	28-29	0.3280676805174991
11103	30-31	0.2943107239121048
11103	32-33	0.3159635379676615
11103	34-35	0.3325608682046024
11103	36-37	0.2993313127421544
11103	38-39	0.4015098630977718
11103	40-41	0.3100168865020123
11103	42-43	0.3509793571118749
11103	44-45	0.3866006002974487
11103	46-47	0.3733560001394096
11103	48-49	0.3143385642578309
11103	50-51	0.38222434507839864
11103	52-53	0.42806451854619354
11103	54-55	0.45311858637018076
11103	56-57	0.5713944639126751
11103	58-59	0.3825126071857241
11103	60-61	0.48479798433752563
11103	62-63	0.47953986951612393
11103	64-65	0.48329152105993956
11103	66-67	0.5069888602497699
11103	68-69	0.6116668288494864
11103	70-71	0.5835702725571537
11103	72-73	0.6686432169091745
11103	74-75	0.6803080340799141
11103	76	0.6288754363695972
11104	1	0.13682434841113889
11104	2	0.08708567258016942
11104	3	0.12846258930618504
11104	4	0.05986461307857027
11104	5	0.10945140601190317
11104	6	0.2478637336571552
11104	7	0.20702793021019517
11104	8	0.2863676443609222
11104	9	0.20889870213069628
11104	10-11	0.27272499081216495
11104	12-13	0.2736957613654383
11104	14-15	0.33933722860921023
11104	16-17	0.23848394202019563
11104	18-19	0.19571022233333935
11104	20-21	0.24820844439663858
11104	22-23	0.2799120247629503
11104	24-25	0.26929139353060805
11104	26-27	0.24465065160271138
11104	28-29	0.2982312939457614
11104	30-31	0.3364930894255025
11104	32-33	0.37093273839820995
11104	34-35	0.30571729382874224
11104	36-37	0.36574361866078675
11104	38-39	0.4221068834321784
11104	40-41	0.3766536015161819
11104	42-43	0.38456067468006694
11104	44-45	0.33544758243277073
11104	46-47	0.37438396349041625
11104	48-49	0.4710203161749291
11104	50-51	0.4140344669279301
11104	52-53	0.46830074005105615
11104	54-55	0.5027859135075801
11104	56-57	0.5034743788745573
11104	58-59	0.47670476710114684
11104	60-61	0.4824262219427453
11104	62-63	0.5511333299185495
11104	64-65	0.5879679693052751
11104	66-67	0.5615433975175605
11104	68-69	0.6424301917438555
11104	70-71	0.7218410313003005
11104	72-73	0.5422079717081445
11104	74-75	0.6511605610216478
11104	76	0.571646372509111
11105	1	0.029894995971776694
11105	2	-0.019044854808804246
11105	3	0.09128353723509619
11105	4	0.06002014529795119
11105	5	0.0796949635293629
11105	6	0.19915169726002802
11105	7	0.24063918127239248
11105	8	0.15759290480315968
11105	9	0.13289970642880888
11105	10-11	0.14656221047162177
11105	12-13	0.19893363887364757
11105	14-15	0.2025557391206192
11105	16-17	0.18861611014847313
11105	18-19	0.1643124315151141
11105	20-21	0.20383231587449302
11105	22-23	0.249951403419729
11105	24-25	0.1865155552743758
11105	26-27	0.24645765735854752
11105	28-29	0.3396532619163253
11105	30-31	0.36258363825858453
11105	32-33	0.28141488675569803
11105	34-35	0.2846176696183349
11105	36-37	0.37254660616540036
11105	38-39	0.3651398937394248
11105	40-41	0.326843211300897
11105	42-43	0.3201659988362522
11105	44-45	0.32012681033278767
11105	46-47	0.38137379337618427
11105	48-49	0.45346983207780056
11105	50-51	0.4135636136734888
11105	52-53	0.4882656685684452
11105	54-55	0.4922755646797654
11105	56-57	0.5460697840259741
11105	58-59	0.5916453063982203
11105	60-61	0.5781460058015426
11105	62-63	0.5781521778162002
11105	64-65	0.530272296791459
11105	66-67	0.7726802026576038
11105	68-69	0.5942523003995674
11105	70-71	0.6030393800553995
11105	72-73	0.6016643710337775
11105	74-75	0.6079507392547896
11105	76	0.7376121240418776
11106	1	0.1560759126997624
11106	2	0.07895276480335056
11106	3	0.13671380644854736
11106	4	0.16130243034451297
11106	5	0.1300490486933299
11106	6	0.23816616729892104
11106	7	0.1868207313978516
11106	8	0.21527665137003282
11106	9	0.21353386763394155
11106	10-11	0.28121508469270395
11106	12-13	0.22655530919148248
11106	14-15	0.2590547179890521
11106	16-17	0.22965066933412714
11106	18-19	0.2674766018274255
11106	20-21	0.24386800622487925
11106	22-23	0.27895070057167004
11106	24-25	0.3584221154034779
11106	26-27	0.3443546255982284
11106	28-29	0.2968359221101693
11106	30-31	0.4020079402998249
11106	32-33	0.31149751419188476
11106	34-35	0.31366047798205443
11106	36-37	0.3483943440994466
11106	38-39	0.43752903535211374
11106	40-41	0.3748276004696365
11106	42-43	0.46205153714395664
11106	44-45	0.3474862941463286
11106	46-47	0.44574167970945666
11106	48-49	0.4382849035890999
11106	50-51	0.48000270269329803
11106	52-53	0.49213067872876337
11106	54-55	0.5902391741213435
11106	56-57	0.608356626622303
11106	58-59	0.520348876998149
11106	60-61	0.5836518386582412
11106	62-63	0.5995894551895873
11106	64-65	0.5869480312690811
11106	66-67	0.6768285317473683
11106	68-69	0.6588770612855157
11106	70-71	0.6427940913551495
11106	72-73	0.7450477316883664
11106	74-75	0.6780760983832934
11106	76	0.9617579351247336
11107	1	0.17185027562602428
11107	2	0.09492734255966795
11107	3	0.05752876480241298
11107	4	0.11644282902146585
11107	5	0.12252475342802427
11107	6	0.2636125660651132
11107	7	0.2942791563404157
11107	8	0.3224383175147807
11107	9	0.31763297993087036
11107	10-11	0.25535218257390113
11107	12-13	0.17801236332679338
11107	14-15	0.2438600897534542
11107	16-17	0.29858782206187584
11107	18-19	0.2345143837097936
11107	20-21	0.2623878652783205
11107	22-23	0.2561494996186724
11107	24-25	0.2620663231128546
11107	26-27	0.4022846333342187
11107	28-29	0.37870034521007057
11107	30-31	0.35521754870777045
