##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1189.T.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	26633923
Sequences flagged as poor quality	0
Sequence length	36-76
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.00000675829843	32.0	32.0	32.0	32.0	32.0
2	31.393170694381	32.0	32.0	32.0	32.0	32.0
3	31.520797818631525	32.0	32.0	32.0	32.0	32.0
4	31.62759177459513	32.0	32.0	32.0	32.0	32.0
5	31.76715442933435	32.0	32.0	32.0	32.0	32.0
6	35.13928098387909	36.0	36.0	36.0	36.0	36.0
7	35.125103462978394	36.0	36.0	36.0	36.0	36.0
8	35.02606029911553	36.0	36.0	36.0	36.0	36.0
9	35.18320049960346	36.0	36.0	36.0	36.0	36.0
10-11	35.11732886664875	36.0	36.0	36.0	36.0	36.0
12-13	35.10374091342082	36.0	36.0	36.0	36.0	36.0
14-15	35.06520231736046	36.0	36.0	36.0	36.0	36.0
16-17	35.08795350951492	36.0	36.0	36.0	36.0	36.0
18-19	35.079097904578305	36.0	36.0	36.0	36.0	36.0
20-21	35.04228000884436	36.0	36.0	36.0	36.0	36.0
22-23	35.01774905634443	36.0	36.0	36.0	36.0	36.0
24-25	34.99578912952478	36.0	36.0	36.0	36.0	36.0
26-27	34.90888548412489	36.0	36.0	36.0	34.0	36.0
28-29	34.85523721007979	36.0	36.0	36.0	32.0	36.0
30-31	34.80801425685581	36.0	36.0	36.0	32.0	36.0
32-33	34.79947030334209	36.0	36.0	36.0	32.0	36.0
34-35	34.81195971393325	36.0	36.0	36.0	32.0	36.0
36-37	34.77206512668187	36.0	36.0	36.0	32.0	36.0
38-39	34.7048912427047	36.0	36.0	36.0	32.0	36.0
40-41	34.693111013645904	36.0	36.0	36.0	32.0	36.0
42-43	34.688131278154174	36.0	36.0	36.0	32.0	36.0
44-45	34.62141879533715	36.0	36.0	36.0	32.0	36.0
46-47	34.602959322564104	36.0	36.0	36.0	32.0	36.0
48-49	34.55797524571773	36.0	36.0	36.0	32.0	36.0
50-51	34.5418966465852	36.0	36.0	36.0	32.0	36.0
52-53	34.4739618934199	36.0	36.0	36.0	32.0	36.0
54-55	34.39793445688403	36.0	36.0	36.0	32.0	36.0
56-57	34.290594550542984	36.0	36.0	36.0	32.0	36.0
58-59	34.23510345747704	36.0	36.0	36.0	32.0	36.0
60-61	34.22272899246758	36.0	36.0	36.0	32.0	36.0
62-63	34.160623935787626	36.0	36.0	36.0	32.0	36.0
64-65	34.110926869376556	36.0	36.0	36.0	32.0	36.0
66-67	34.01324100175149	36.0	36.0	36.0	32.0	36.0
68-69	34.014660549951586	36.0	36.0	36.0	32.0	36.0
70-71	33.92435197712625	36.0	36.0	36.0	32.0	36.0
72-73	33.90752222140054	36.0	36.0	36.0	32.0	36.0
74-75	34.357262249202456	36.0	36.0	36.0	32.0	36.0
76	35.39851693400714	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-1.4859989150295405E-6
11101	2	-0.06714861685152229
11101	3	0.07961248954264377
11101	4	-0.019399702219921267
11101	5	0.08450197273203486
11101	6	0.13153377508572106
11101	7	0.17112468632051048
11101	8	0.22956790189684284
11101	9	0.18585414312215676
11101	10-11	0.21638856697958886
11101	12-13	0.15239775156094026
11101	14-15	0.2227179671955426
11101	16-17	0.12326179770833079
11101	18-19	0.22705532533606032
11101	20-21	0.16240629848248744
11101	22-23	0.21238084941821
11101	24-25	0.16126040988832813
11101	26-27	0.20530961116094204
11101	28-29	0.2045390115293202
11101	30-31	0.27109076277385213
11101	32-33	0.32462043743183955
11101	34-35	0.2616778199130678
11101	36-37	0.21131517732312233
11101	38-39	0.29383174986562466
11101	40-41	0.24453123495376872
11101	42-43	0.30830942463720135
11101	44-45	0.2285800248494354
11101	46-47	0.2665799678694327
11101	48-49	0.34942020422152353
11101	50-51	0.3015556792189358
11101	52-53	0.26324330021189724
11101	54-55	0.29455449737841377
11101	56-57	0.3446328340135594
11101	58-59	0.40572318417398634
11101	60-61	0.35844563897401827
11101	62-63	0.28752119949069765
11101	64-65	0.3158174048308027
11101	66-67	0.2519507726807362
11101	68-69	0.31666396087653226
11101	70-71	0.41671459698784474
11101	72-73	0.4340827065280095
11101	74-75	0.26840528879312586
11101	76	0.0431426777135826
11102	1	-1.4859989150295405E-6
11102	2	0.012603807117262278
11102	3	0.08541394956534631
11102	4	0.06513149248598182
11102	5	0.049218881342632415
11102	6	0.16129012978316837
11102	7	0.12500320355479033
11102	8	0.17268275436698843
11102	9	0.2185921751808806
11102	10-11	0.1736477052627805
11102	12-13	0.17878849273929376
11102	14-15	0.1858687661987588
11102	16-17	0.17108080316631913
11102	18-19	0.1609204462116054
11102	20-21	0.20808883044094273
11102	22-23	0.18047410232051675
11102	24-25	0.2174978231002882
11102	26-27	0.2001569352056265
11102	28-29	0.19189753931708964
11102	30-31	0.2504706889663524
11102	32-33	0.24867300546512894
11102	34-35	0.15960235629897568
11102	36-37	0.27689070547013017
11102	38-39	0.23565014173308185
11102	40-41	0.2769209493295435
11102	42-43	0.31072298278964183
11102	44-45	0.26629115908948364
11102	46-47	0.2962637056884674
11102	48-49	0.2712746244055566
11102	50-51	0.2554244333065583
11102	52-53	0.3207594697266529
11102	54-55	0.38532372971468476
11102	56-57	0.35971336293128076
11102	58-59	0.35300766598132327
11102	60-61	0.20520500241065776
11102	62-63	0.32135272759343536
11102	64-65	0.20647430741550465
11102	66-67	0.2232289245076018
11102	68-69	0.28754782119228395
11102	70-71	0.44901575914534675
11102	72-73	0.3211571594295819
11102	74-75	0.3238681901365439
11102	76	0.04304463273054182
11103	1	-1.4859989150295405E-6
11103	2	-0.024020815481691216
11103	3	0.061043051430822004
11103	4	0.04131409879622083
11103	5	0.03399041540534142
11103	6	0.11560214356209997
11103	7	0.1869337748992379
11103	8	0.19947305810801907
11103	9	0.16521546597005
11103	10-11	0.1921078244946699
11103	12-13	0.20450652355376775
11103	14-15	0.2514368949112722
11103	16-17	0.21461706436161876
11103	18-19	0.17901396367753364
11103	20-21	0.17098910045109506
