##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1188.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8037652
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.075616361594157	32.0	32.0	32.0	32.0	32.0
2	31.340260065999374	32.0	32.0	32.0	32.0	32.0
3	31.469506019917258	32.0	32.0	32.0	32.0	32.0
4	31.580435306231223	32.0	32.0	32.0	32.0	32.0
5	31.56851366543364	32.0	32.0	32.0	32.0	32.0
6	35.041783346678855	36.0	36.0	36.0	36.0	36.0
7	35.005727418902936	36.0	36.0	36.0	36.0	36.0
8	34.92938173984144	36.0	36.0	36.0	36.0	36.0
9	35.07552292634715	36.0	36.0	36.0	36.0	36.0
10-11	35.00936436412027	36.0	36.0	36.0	36.0	36.0
12-13	34.99328106019021	36.0	36.0	36.0	36.0	36.0
14-15	34.940267817019205	36.0	36.0	36.0	36.0	36.0
16-17	34.941121735551626	36.0	36.0	36.0	36.0	36.0
18-19	34.935003095431355	36.0	36.0	36.0	36.0	36.0
20-21	34.921083296465184	36.0	36.0	36.0	36.0	36.0
22-23	34.87223426692273	36.0	36.0	36.0	32.0	36.0
24-25	34.83579756874271	36.0	36.0	36.0	32.0	36.0
26-27	34.740576227983	36.0	36.0	36.0	32.0	36.0
28-29	34.695586036817716	36.0	36.0	36.0	32.0	36.0
30-31	34.66916252408042	36.0	36.0	36.0	32.0	36.0
32-33	34.6226106828213	36.0	36.0	36.0	32.0	36.0
34-35	34.57579390100492	36.0	36.0	36.0	32.0	36.0
36-37	34.56488131167142	36.0	36.0	36.0	32.0	36.0
38-39	34.53516163437757	36.0	36.0	36.0	32.0	36.0
40-41	34.49841482026315	36.0	36.0	36.0	32.0	36.0
42-43	34.43682679230702	36.0	36.0	36.0	32.0	36.0
44-45	34.37902552955234	36.0	36.0	36.0	32.0	36.0
46-47	34.36832920267145	36.0	36.0	36.0	32.0	36.0
48-49	34.3141527979696	36.0	36.0	36.0	32.0	36.0
50-51	34.25996409027742	36.0	36.0	36.0	32.0	36.0
52-53	34.16297144856982	36.0	36.0	36.0	32.0	36.0
54-55	34.079942645045904	36.0	36.0	36.0	32.0	36.0
56-57	33.98926361370536	36.0	36.0	36.0	32.0	36.0
58-59	33.94464826856783	36.0	36.0	36.0	32.0	36.0
60-61	33.87710594233379	36.0	36.0	36.0	32.0	36.0
62-63	33.81482247797006	36.0	36.0	36.0	32.0	36.0
64-65	33.737366271201104	36.0	36.0	36.0	27.0	36.0
66-67	33.64028283150006	36.0	36.0	36.0	27.0	36.0
68-69	33.613528383355224	36.0	36.0	36.0	27.0	36.0
70-71	33.53546137211865	36.0	36.0	36.0	27.0	36.0
72-73	33.440455267698134	36.0	36.0	36.0	27.0	36.0
74-75	33.32891099277404	36.0	36.0	36.0	27.0	36.0
76	31.829726976505675	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.12919044300357285
11101	2	0.08151401375964795
11101	3	0.09563449851840744
11101	4	0.04489864728839876
11101	5	0.0802705271213604
11101	6	0.14974737745337308
11101	7	0.019970058062448004
11101	8	0.20401655063286483
11101	9	0.14069665902009376
11101	10-11	0.16137322884853944
11101	12-13	0.19082250528914102
11101	14-15	0.11206981916073744
11101	16-17	0.09232937324043888
11101	18-19	0.18587414399952706
11101	20-21	0.17636883690295946
11101	22-23	0.1448752738028105
11101	24-25	0.17846244547312295
11101	26-27	0.1694952142394044
11101	28-29	0.23364311267928883
11101	30-31	0.3058726817811248
11101	32-33	0.3032849398888615
11101	34-35	0.3225526259130689
11101	36-37	0.2777837320801595
11101	38-39	0.2090959542769042
11101	40-41	0.29674867929750803
11101	42-43	0.24321655470068038
11101	44-45	0.286237175065871
11101	46-47	0.34464134350218245
11101	48-49	0.36103744632196566
11101	50-51	0.3570482320945345
11101	52-53	0.39222866987988425
11101	54-55	0.06084565652034968
11101	56-57	0.3796856561268669
11101	58-59	0.3548341485502746
11101	60-61	0.4992802843487212
11101	62-63	0.3683978078720287
11101	64-65	0.4665496680328971
11101	66-67	0.4126462116447911
11101	68-69	0.4024979229516319
11101	70-71	0.4462923336247613
11101	72-73	0.7218695248338776
11101	74-75	0.5817974896049662
11101	76	0.23857072315758998
11102	1	0.09054848344607436
11102	2	-8.84748069566399E-4
11102	3	0.06496345070667786
11102	4	0.04541293452752271
11102	5	0.021116578147388765
11102	6	0.09046667608202341
11102	7	0.1910736651081848
11102	8	0.12496914644918888
11102	9	0.1807231254058408
11102	10-11	0.15007194870997154
11102	12-13	0.10414873078469356
11102	14-15	0.11526743645825377
11102	16-17	0.1133617806141558
11102	18-19	0.23428597891332004
11102	20-21	0.18431663674818566
11102	22-23	0.1994803885349654
11102	24-25	0.20764915599976064
11102	26-27	0.03555340875156787
11102	28-29	0.11371897004706
11102	30-31	0.20946171533351077
11102	32-33	0.2584446115213126
11102	34-35	0.1613954432367919
11102	36-37	0.19023715649258577
11102	38-39	0.14850206900242569
11102	40-41	0.2520995309812051
11102	42-43	0.35732041940566717
11102	44-45	0.304097634958282
11102	46-47	0.18428501226208738
11102	48-49	0.2615949924408554
11102	50-51	0.4161363254143282
11102	52-53	0.3988618402479105
11102	54-55	0.3342373622786994
11102	56-57	0.44966232546511264
11102	58-59	0.42912811920425753
11102	60-61	0.3805307352621554
11102	62-63	0.3573151149780358
11102	64-65	0.5361277075881077
11102	66-67	0.31913045730384226
11102	68-69	0.35746972733735305
11102	70-71	0.4612018343545259
11102	72-73	0.39391309956934606
11102	74-75	0.3409008944128402
11102	76	0.3638591835463494
11103	1	-0.08758921796020047
11103	2	0.009890414527919944
11103	3	0.013044986880615284
11103	4	0.03258272231992265
11103	5	0.0246017841839965
11103	6	0.16780896779496857
11103	7	0.0962137664383036
11103	8	0.17129474669457778
11103	9	0.05775528082248371
11103	10-11	0.15426638763383238
11103	12-13	0.13267670512315277
11103	14-15	0.2727384311156271
11103	16-17	0.17846702153344296
11103	18-19	0.16785050880715602
11103	20-21	0.18841059173472985
11103	22-23	0.13620765731474194
11103	24-25	0.1266602159132333
11103	26-27	0.1729842599368112
11103	28-29	0.26748124453577304
11103	30-31	0.2549810781150441
11103	32-33	0.23351429615762953
11103	34-35	0.26973647291601566
11103	36-37	0.4745919253836277
11103	38-39	0.2510194266875416
11103	40-41	0.3355680149578504
11103	42-43	0.39097843901083706
11103	44-45	0.24512482736458452
11103	46-47	0.2788509949997149
11103	48-49	0.4364354431904829
11103	50-51	0.42979942261999327
11103	52-53	0.37461195628531385
11103	54-55	0.502618248971892
11103	56-57	0.5346450895498052
11103	58-59	0.468238012693881
11103	60-61	0.37516875314465636
11103	62-63	0.5434451716198723
11103	64-65	0.579664380621395
11103	66-67	0.28058425449847135
11103	68-69	0.5044809772707382
11103	70-71	0.6651544037020116
11103	72-73	0.6276956669670994
11103	74-75	0.8032538679061929
11103	76	0.5674903018644777
11104	1	0.058328248933214866
11104	2	0.20308932586327444
11104	3	0.12378647622875505
11104	4	0.17195062298917563
11104	5	0.07588257649053176
11104	6	0.11088085650008139
11104	7	0.24761036432060024
11104	8	0.2469562884197174
11104	9	0.22299999029263518
11104	10-11	0.28683040554747663
11104	12-13	0.2226768163442543
11104	14-15	0.2907935484932125
11104	16-17	0.32377426438686996
11104	18-19	0.1023049327076464
11104	20-21	0.21237290568692657
11104	22-23	0.22109064865224326
11104	24-25	0.30427366075340956
11104	26-27	0.3039848076328866
11104	28-29	0.1871523501901251
11104	30-31	0.26011555934051245
11104	32-33	0.3317355453007451
11104	34-35	0.3672381758195158
11104	36-37	0.3279475542029786
11104	38-39	0.36351136212444857
