##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	1180.T.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4309848
Sequences flagged as poor quality	0
Sequence length	36-76
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.00001113728373	32.0	32.0	32.0	32.0	32.0
2	31.028429076849115	32.0	32.0	32.0	32.0	32.0
3	31.34151227607099	32.0	32.0	32.0	32.0	32.0
4	31.50690302767058	32.0	32.0	32.0	32.0	32.0
5	31.701882525787454	32.0	32.0	32.0	32.0	32.0
6	34.93772935843677	36.0	36.0	36.0	36.0	36.0
7	34.91332385736109	36.0	36.0	36.0	32.0	36.0
8	34.79005315268659	36.0	36.0	36.0	32.0	36.0
9	35.00111303229255	36.0	36.0	36.0	36.0	36.0
10-11	34.91438294343559	36.0	36.0	36.0	34.0	36.0
12-13	34.903744169167915	36.0	36.0	36.0	32.0	36.0
14-15	34.84961987058476	36.0	36.0	36.0	32.0	36.0
16-17	34.864954286090835	36.0	36.0	36.0	32.0	36.0
18-19	34.86158479370967	36.0	36.0	36.0	32.0	36.0
20-21	34.83507179371523	36.0	36.0	36.0	32.0	36.0
22-23	34.79492791857161	36.0	36.0	36.0	32.0	36.0
24-25	34.77114390113062	36.0	36.0	36.0	32.0	36.0
26-27	34.66823099097694	36.0	36.0	36.0	32.0	36.0
28-29	34.60867216198808	36.0	36.0	36.0	32.0	36.0
30-31	34.574148786685754	36.0	36.0	36.0	32.0	36.0
32-33	34.54798684315549	36.0	36.0	36.0	32.0	36.0
34-35	34.53949547640659	36.0	36.0	36.0	32.0	36.0
36-37	34.501405704785384	36.0	36.0	36.0	32.0	36.0
38-39	34.451377521081795	36.0	36.0	36.0	32.0	36.0
40-41	34.44136621569588	36.0	36.0	36.0	32.0	36.0
42-43	34.40744660478187	36.0	36.0	36.0	32.0	36.0
44-45	34.34201250397595	36.0	36.0	36.0	32.0	36.0
46-47	34.332828312228855	36.0	36.0	36.0	32.0	36.0
48-49	34.288199182984144	36.0	36.0	36.0	32.0	36.0
50-51	34.256938260533396	36.0	36.0	36.0	32.0	36.0
52-53	34.17996268133552	36.0	36.0	36.0	32.0	36.0
54-55	34.114515579453084	36.0	36.0	36.0	32.0	36.0
56-57	34.00517215219607	36.0	36.0	36.0	32.0	36.0
58-59	33.95206135273042	36.0	36.0	36.0	32.0	36.0
60-61	33.94450852912303	36.0	36.0	36.0	32.0	36.0
62-63	33.886546451131686	36.0	36.0	36.0	32.0	36.0
64-65	33.83156284003529	36.0	36.0	36.0	32.0	36.0
66-67	33.72934512350989	36.0	36.0	36.0	29.5	36.0
68-69	33.73347072026817	36.0	36.0	36.0	27.0	36.0
70-71	33.65343921808163	36.0	36.0	36.0	27.0	36.0
72-73	33.64379538892719	36.0	36.0	36.0	27.0	36.0
74-75	34.1619856407068	36.0	36.0	36.0	32.0	36.0
76	35.323109362421576	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-1.9330911712245324E-5
11101	2	-0.08796618849673621
11101	3	0.147078353019225
11101	4	0.14884269657562754
11101	5	0.15109280296088912
11101	6	-0.035985323569228456
11101	7	0.019846913737282534
11101	8	0.11951247434772938
11101	9	0.001464966475182905
11101	10-11	0.2801600573370351
11101	12-13	0.2795135621272138
11101	14-15	0.20323853753859566
11101	16-17	0.22099890886640594
11101	18-19	0.045065847179145635
11101	20-21	0.16411277708760252
11101	22-23	0.28287589938170044
11101	24-25	0.12644582618557365
11101	26-27	0.12712469306953977
11101	28-29	0.0757208589680829
11101	30-31	0.27242676962184476
11101	32-33	0.2634999719010338
11101	34-35	0.24698093759490547
11101	36-37	0.28013539915887264
11101	38-39	0.24069597436224655
11101	40-41	0.23449244306968353
11101	42-43	0.32140815853392013
11101	44-45	0.1656344761638593
11101	46-47	0.16565002401289775
11101	48-49	0.1750389766506686
11101	50-51	0.44759031208315747
11101	52-53	0.26588232313861937
11101	54-55	0.19616482758342357
11101	56-57	0.24793415395303242
11101	58-59	0.09202719438791718
11101	60-61	0.42188301525246175
11101	62-63	0.3567113992248352
11101	64-65	0.5769283063619
11101	66-67	0.2516921249248085
11101	68-69	0.2583558520528584
11101	70-71	0.4822787223383713
11101	72-73	0.34468313034119547
11101	74-75	0.38147745326094196
11101	76	0.08070020429745028
11102	1	-1.9330911712245324E-5
11102	2	-0.12155419746812512
11102	3	0.0030194676354184935
11102	4	0.13475652017476136
11102	5	0.050808952070738655
11102	6	0.2212127581579466
11102	7	0.09942241381933314
11102	8	0.17492114061323605
11102	9	0.2594015467709525
11102	10-11	0.13647953850380645
11102	12-13	0.1334306436294952
11102	14-15	0.1022435398786925
11102	16-17	0.18921459907384985
11102	18-19	0.09504670091995138
11102	20-21	0.22683045182001393
11102	22-23	0.1856721649494304
11102	24-25	0.2392735159310817
11102	26-27	0.30394039664898287
11102	28-29	0.23100006005242335
11102	30-31	0.2710698164906802
11102	32-33	0.34431693974139677
11102	34-35	0.3320571883318806
11102	36-37	0.22807901733514058
11102	38-39	0.40148371578666087
11102	40-41	0.13133277570401702
11102	42-43	0.12426651583175641
11102	44-45	0.3206865520924893
11102	46-47	0.23297180033641496
11102	48-49	0.22288319210777985
11102	50-51	0.3470333519570019
11102	52-53	0.5936350579978082
11102	54-55	0.4117962958091965
11102	56-57	0.25335574766784674
11102	58-59	0.42692670025304125
11102	60-61	0.23951456283813854
11102	62-63	0.5299178137408802
11102	64-65	0.4106919350433458
11102	66-67	0.2788610038628079
11102	68-69	0.40469496383219905
11102	70-71	0.44487201788303565
11102	72-73	0.47720109453217674
11102	74-75	0.35426879390875854
11102	76	0.022538038971347873
11103	1	-1.9330911712245324E-5
11103	2	0.027982993424966907
11103	3	0.17298490904289565
11103	4	0.05428475815870115
11103	5	0.00743728285258527
11103	6	0.3990832733043419
11103	7	0.3882472582330294
11103	8	0.1911707615220024
11103	9	0.23256551939284265
11103	10-11	0.2828527930951239
11103	12-13	0.234395124369847
11103	14-15	0.29046801273757694
11103	16-17	0.24543224011849674
11103	18-19	0.21282467240503422
11103	20-21	0.2975003219211061
