Category	Chromosome	Loci Start	Loci End	Gene ID	Gene Symbol	Strand	Distance to TSS	Description	Conservation Score	Fractional Overlaping
Downstream	chr7	003145188	003146126	uc009euj.1	Speer9-ps1	+	+17512	Mus musculus spermatogenesis associated glutamate (E)-rich protein 9, pseudogene 1 (Speer9-ps1), non-coding RNA.	NA	NA
Intron	chr7	003229731	003230439	uc009eul.2	Nlrp12	-	+19655	Mus musculus NLR family, pyrin domain containing 12 (Nlrp12), mRNA.	NA	NA
Exon/CD	chr7	003248314	003250743	uc009eul.2	Nlrp12	-	+0212	Mus musculus NLR family, pyrin domain containing 12 (Nlrp12), mRNA.	NA	NA
Upstream	chr7	003286041	003291142	uc009eup.1	Myadm	+	-0446	Mus musculus myeloid-associated differentiation marker (Myadm), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	003286041	003291142	uc009eup.1	Myadm	+	-0446	Mus musculus myeloid-associated differentiation marker (Myadm), transcript variant 1, mRNA.	NA	NA
Intron	chr7	003291445	003294257	uc009eup.1	Myadm	+	+3814	Mus musculus myeloid-associated differentiation marker (Myadm), transcript variant 1, mRNA.	NA	NA
Intron	chr7	003617355	003617811	uc009eve.1	Ndufa3	+	+0211	Mus musculus NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3 (Ndufa3), mRNA.	NA	NA
5'UTR	chr7	003629179	003629985	uc009evf.1	Tfpt	-	+0302	Mus musculus TCF3 (E2A) fusion partner (Tfpt), mRNA.	NA	NA
5'UTR	chr7	003644704	003646046	uc009evl.2	Cnot3	+	+0107	Mus musculus CCR4-NOT transcription complex, subunit 3 (Cnot3), mRNA.	NA	NA
5'UTR	chr7	003644704	003646046	uc009evl.2	Cnot3	+	+0107	Mus musculus CCR4-NOT transcription complex, subunit 3 (Cnot3), mRNA.	NA	NA
5'UTR	chr7	003664874	003666307	uc009evm.1	Leng1	-	+0250	Mus musculus leukocyte receptor cluster (LRC) member 1 (Leng1), mRNA.	NA	NA
5'UTR	chr7	003692389	003694977	uc009evv.2	Tsen34	+	+0074	Mus musculus tRNA splicing endonuclease 34 homolog (S. cerevisiae) (Tsen34), transcript variant 1, mRNA.	NA	NA
Intron	chr7	003703493	003704946	uc009evz.1	Rps9	+	+0182	Mus musculus ribosomal protein S9 (Rps9), mRNA.	NA	NA
5'UTR	chr7	004136017	004137792	uc012ewr.1	D030047H15Rik	-	+0022	Mus musculus RIKEN cDNA D030047H15 gene (D030047H15Rik), non-coding RNA.	NA	NA
Upstream	chr7	004148423	004151804	uc009exd.1	Leng9	-	-0241	Mus musculus leukocyte receptor cluster (LRC) member 9 (Leng9), mRNA.	NA	NA
Upstream	chr7	004163845	004167463	uc009exe.1	Cdc42ep5	-	-0955	Mus musculus CDC42 effector protein (Rho GTPase binding) 5 (Cdc42ep5), mRNA.	NA	NA
Exon/CD	chr7	004237688	004239827	uc009exf.2	Lilra5	+	+1004	Mus musculus leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5 (Lilra5), mRNA.	NA	NA
5'UTR	chr7	004445289	004445673	uc009exl.2	Rdh13	-	+0176	Mus musculus retinol dehydrogenase 13 (all-trans and 9-cis) (Rdh13), nuclear gene encoding mitochondrial protein, mRNA.	NA	NA
5'UTR	chr7	004501077	004502263	uc009exq.1	Ppp1r12c	-	+0010	Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 12C (Ppp1r12c), mRNA.	NA	NA
Intron	chr7	004504279	004505364	uc009ext.1	Tnnt1	-	+11154	Mus musculus troponin T1, skeletal, slow (Tnnt1), mRNA.	NA	NA
Downstream	chr7	004629151	004632832	uc009eyb.1	Ppp6r1	-	+27959	Mus musculus protein phosphatase 6, regulatory subunit 1 (Ppp6r1), mRNA.	NA	NA
Intron	chr7	004654057	004654759	uc009eyb.1	Ppp6r1	-	+4542	Mus musculus protein phosphatase 6, regulatory subunit 1 (Ppp6r1), mRNA.	NA	NA
5'UTR	chr7	004657451	004660137	uc009eyb.1	Ppp6r1	-	+0156	Mus musculus protein phosphatase 6, regulatory subunit 1 (Ppp6r1), mRNA.	NA	NA
5'UTR	chr7	004684630	004685276	uc009eyc.1	Hspbp1	-	+0010	Mus musculus HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1 (Hspbp1), mRNA.	NA	NA
Upstream	chr7	004739356	004739602	uc009eyk.2	Suv420h2	+	-0647	Mus musculus suppressor of variegation 4-20 homolog 2 (Drosophila) (Suv420h2), transcript variant 1, mRNA.	NA	NA
Intron	chr7	004740124	004741441	uc009eyk.2	Suv420h2	+	+0656	Mus musculus suppressor of variegation 4-20 homolog 2 (Drosophila) (Suv420h2), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	004788948	004790179	uc009eyr.1	Tmem238	-	-0003	Mus musculus transmembrane protein 238 (Tmem238), mRNA.	NA	NA
Upstream	chr7	004792235	004793651	uc009eys.1	Rpl28	+	-0021	Mus musculus ribosomal protein L28 (Rpl28), mRNA.	NA	NA
